Project Address,Project Details,Description,Image URL
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_af97b51b2a6f4624954588d75d2eba35~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_d46a13a2c38340cf93628a4c39b08a69~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_907fb3c4248541a99c2bc2c361e36b80~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_4c016fdb7ea644a499d516d837321d12~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_6d1891e1a0dc4547b2ac4c95b7e5cf02~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_01701671954043e78be252c593ff8f50~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_11cf1ebb21434975b543b4d90ba86878~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_1eb4126f801b48fd91c0fda6390775ce~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_a94033ed909545e0b7004a6bbd2b7336~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_df8e128588c640d1a7a13feacc9f7233~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_6b5b0190f10f4a4b851874fd67a4af82~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_d6ccfb229e4d4f118b956284f63cd797~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_6087660590c046faaa56e382fcab0984~mv2.png
3312 Salmon st.,Property Rehab | Custom Kitchen |,"This Home Rehab was customized with addition, facade changes, and full interior renovation",https://static.wixstatic.com/media/dc69ab_7cbe6777bc24482e934b51a8be4f1e83~mv2.png
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_546b1126b7a94ce3a45bc9d0751c0b4e~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_89c1231252b34c758e6df3a8f4ec6018~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_268c8a5fd7ef4754a610981476e44d41~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_4ac77f148c2a4344abf78be61ca55e3c~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_3da80b8cd35847b29f72723687ddcefc~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_717fd78dc4a848d9b25c41d48cdb9158~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_f2736598c0454d51888581dbd3c2b51e~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_1c9dfe9214cb4cc69fead3b064d9648d~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_a5c9358c6ced4c5685550b30b03d2676~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_60d45cbe52af4f6daf4f355a83c7e615~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_ce9aed801d1342f4b2dd9d97dd7d9e5d~mv2.jpg
1745 Waterloo St,Full Build | Custom Bathrooms | Custom Kitchen | Custom Stairs |,"A Unique Gem of a building in the heart of Philadelphia. This Fully Custom property was designed, and built completely by B2B2 Builders. Dryvit Stucco and custom sized windows, with real wood custom door and entry facade. Fully customized interior including amenities such as built-in Speakers, washer and Dryer, and much more.",https://static.wixstatic.com/media/dc69ab_d99236de537945e88cdb3b9cb93f13a8~mv2.jpg
